"","No","事故状況","ガス種","原因","結果","突発性","状況"
104,13214,"小型容器充てん場において、小型容器へ充てん作業中に、接続部よりガスが漏洩したもの。容器接続部の締め付け不良又はパッキンへの異物噛みこみによるシール不良と推定される。","a","b","a","a","a"
146,10608,"硫化カルボニル製造設備の粗ガス捕集槽において、粗ガス捕集中にクラックが発生し、漏えいした。原因は、合成工程から塩化物イオンが混入していたことおよび溶接時の残留応力により、SUS304製粗ガス捕集槽において応力腐食割れによるクラックが発生し、漏えいしたものと推定される。今後は、①塩化物イオンを除去し、常温のN2をジャケットに導入し昇圧を行うこととした。②同様の漏えいが発生した場合でもすぐに検知できるよう、放棄N2配管にガス検知器を設置した。③漏えいを検知した際に漏えいしたガスを処理できるよう、除害装置への導入ラインを作成した。","d","d","a","b","a"
475,3014,"代替フルオロカーボンを出荷するため貯蔵タンクとコンテナーの間にステンレス製のフレキシブルホースを接続して、追加充てんしようとしたところホースが破裂し、作業員2名が負傷した。充てんはコンテナーの液面計を見ながら行い、満液状態に近くなったので別の場所にあるトラックスケールで計量するため充てん作業を一時中断した。残りの0.2㌧分を追加充てんするためフレキシブルホースを抱えた時に事故が発生している。作業を中断した約20分間に温度上昇によってフレキシブルホース内が液封状態となり経年劣化していた箇所から破断したものとみられている。","d","a","d","b","d"
62,892,"テレフタール酸製造装置にある高温洗浄槽のドレン抜きバルブがはずれ、約35立方㍍の内容物（テレフタール酸10％、99％、CH3COOH90％）が流出した。水によって高温洗浄槽の冷却と流出物の希釈を行ったが酢酸が大気中に拡散し、農作物に被害を与えた。","c","d","e","c","a"
477,155,"被害者が塩化ビニル重合缶に重合後の缶内のスケールを落とすために中に入った。他の作業員が見まわりの際重合缶の中で倒れているのを発見、直ちに病院へ運んだが死亡した。","c","d","f","a","c"
62,5673,"ブタジエンを配管で受け入れている隣接事業所から、敷地境界付近で臭気がするとの連絡があり、受入を停止するとともに調査がなされたところ、80A本管から分岐している20Aエアー抜き配管からブタジエンガスが漏れていることが判明した。直ちに当該部分の前後バルブが閉止され、漏えいは止まった。ブタジエンの推定漏れ量は0.9リットル（600g）である。原因は、保温部への雨水浸入等により20A配管が腐食したためとみられる。漏えいが発生した配管は、外面に腐食が見られ前面的に約１㎜減肉していた。その一部に局所的な外面腐食が進行し、約0.1㎜の孔が開いたものと推定される。なお、配管内面に減肉はなく、また80A本管には、外面腐食による減肉は発生していなかった。応急措置として、当該腐食部の肉盛溶接がなされた。恒久措置としては、腐食防止策も含めた当該配管の更新、防食塗装及び雨仕舞い強化による外面腐食防止及びRBI手法を取り入れた腐食状況の予測管理、及び類似箇所を点検することとした。","a","a","a","b","d"
542,7591,"巡回点検中に当該バルブのユニオンより漏えいを発見した。ブロックにより漏えいを停止させた。原因は、締付け管理不良と推定される。","d","b","a","b","a"
88,12299,"6号プラント稼動開始に伴い、稼動中の3号プラントを停止した(6時55分)。分離器内部の液(空気、酸素、窒素、アルゴン)を放出するため、弁手動操作にて放液溜へ放出を開始した(8時00分)。その後9時06分に、異常音が発生し、放液溜が破裂した。破裂により飛散した破片等により、周辺の配管および機器等が損傷した。漏えい停止の一時処置を実施した。構外への飛来物被害も発生した。人的被害はなかった。放液溜に水が滞留していたため、低温の液化ガスが放液溜に放液された際に氷が生成され、その氷が液化ガスを閉じ込めたことで内圧が上昇し、破裂に至ったと推定される。直接原因は、放液溜に水が滞留していたためと推定される。間接原因は、放液作業手順書に水抜き作業が記載されていなかったためと推定される。今後は、①放液溜の水抜きの実施とルール化を行う。②全作業手順書の内容を見直す。③設備･作業リスクの洗い出しと改善を行う。","a","b","c","a","b"
144,933,"ローリーから貯槽に液化塩素を充てんした後、充てん用のパイプに残存している液塩を中和塔を通じて大気に放出する作業を行った際、シールポット及び中和塔の頂部から塩素が漏えいした。受入終了後、残存している液塩を中和塔を通し大気放出する際、受入れバルブが誤操作により閉止されていなかったため、貯槽から塩素が逆流したもの。この漏えいによって付近住民278名が病院で治療を受けた。","c","b","d","a","b"
499,8427,"高級アルコール製造施設内で、4段圧縮機の3段自動ドレン元弁で内漏れが発生したため、ドレン弁を取外して閉止フランジを取付けた。9月3日、4段圧縮機を起動し窒素で閉止フランジ部を2MPaまで昇圧確認後、実ガスにて昇圧している段階でフランジからオキソガス(水素、一酸化炭素）が漏えい、作業していた作業員2人の内1人がガスを吸引したため病院に搬送した(軽度のCO中毒で当日退院)。直ちに系内を窒素で置換し、4段圧縮機を停止した。原因は、工事担当課から工事会社、工事監督から施工者への工事内容の伝達不足、閉止フランジ取付時のボルト締付け力不足、閉止フランジ取付後の気密性能確認不足、運転部門の引継ぎ申し送り等に関する情報(気密試験未実施等)の認知が不足していたためと推定される。今後は、気密テストに関わる基準書の見直しを行い、管理強化を図ることとした。また、工事管理に関する規程、基準類を見直しすることとした。","c","b","d","a","a"
223,11237,"停止していた冷凍機の定期点検をするために運転を開始したところ、蒸発器圧力低警報が発報し停止した。冷媒不足の可能性のためフルオロカーボン検知器で漏れの確認をしたところ、蒸発器圧力計フレア継手から冷媒漏れを発見した。圧力計・フレア双方の継手接続部のフレア内側シート面に2mm程度の傷のような箇所が冷媒漏れの原因と推定される。今後は、圧力計交換作業手順書を改訂し、再教育を実施する。","a","d","a","b","c"
145,12107,"高級アルコール製造施設U-3水添工程の通常運転時に、固定式ガス検知器が発報した。操業員が当該エリアの水添反応器バイパス配管より、水素ガスの漏えいを発見した。直ちにホットライン通報を行い、当局の協力を得て、施設の緊急停止を行い、漏えい箇所を含む系列の脱圧・窒素パージを実施した。最終的に残ガス及び危険物の漏えいがないことをガス検知器にて確認した。事故調査の結果、配管内面の限定された範囲において著しい腐食が認められた。原因は、配管の内面からの腐食により、漏えいに至ったものと推定される。配管内面からの腐食が発生した配管の特徴として、①機器のバイパス配管であり、通常は流れが無いデッドスペースになる。②配管がメインラインに対し“上取り出し”である。③気体(水素)と液体(アルコール及びアルデヒド)の気液混相流である。④接液･接ガス材質はカーボンスチール材である。⑤実運転温度は150℃前後である。上記の特徴から、この部位には流体の長期滞留が起こりやすく、プロセス液の分解等で微量の腐食性物質(カルボン酸)がデッド部に気相溜まりが生じ、150℃前後の温度条件により、気液界面近傍で腐食性物質の濃縮が進行し、腐食に至ったものと考えられる。","a","a","a","b","a"
324,898,"アセチレン充てん中圧力計が不調になり不調圧力計及び他の5本の圧力計も取替作業を行なった。取替え作業が完了した時突然安全板が破裂し火炎が上がった。圧力計を取り付けた時ブルドン管の中の空気がアセチレン（22atg）により圧縮温度上昇分解爆発したものと推定される。","a","d","b","a","c"
374,2882,"水素ガス精製装置の吸着筒入口配管に取付けられた圧力計の定期点検を行うため、圧力計を取り外し較正終了後、元の位置に圧力計を取付けたところ、圧力計元弁の継手部がゆるみ水素ガスが漏えいし着火した。","c","b","f","c","c"
431,1810,"苛性ソーダ電解工場において、塩素吸引ポンプが故障し自動停止したため電解電流が停止した。直ちに次の緊急停電時の措置を行った。①水素配管系及び電解槽内の陰極室の窒素置換。②電解槽のプラグを外し塩素配管系の空気置換。③電解槽への塩水は電解停止時より自動的に供給され15分後に停止した。④電解槽の苛性ソｰダ循環はそのまま継続。次の日、電解槽の液面が低下していたので塩水補充を開始して約40分後、突然塩素冷却塔及び塩素送気配管が破裂・爆発した。事故原因は①塩素吸引ポンプの瞬間的な停止により水封式逃がし弁の排出容量が不足し電解槽内圧が急激に変動しイオン交換膜（気相部）が破損した。②塩素主配管の空気置換が終了したので弁を閉止したが、除害ブロワーは塩素吸引ポンプ室の排出にも使用するため継続運転をしていた。しかし、閉止した弁がリークしていたので長時間密閉により配管系内が負圧状態となり、イオン交換膜の破れを通して陰極室内の残留水素ガスが少しずつ陽極室を経由して空気置換された塩素配管系へ移動し、水素－空気系の爆鳴気を形成したもの。","c","a","b","a","d"
378,12034,"4月9日(水)17時16分、従業員が運転中点検を行っていたところ、超臨界炭酸ガス製造設備の抽出槽Aの付近からガスの漏れ出る音を聞き、付近から退避のうえ設備を緊急停止し、脱圧および冷却を行った。当該抽出槽の点検を行ったところ、ねじ込み継手部の緩みが確認されたため、分解清掃およびパッキン交換を行った。4月10日(木)、気密試験(20MPa)を実施し、漏れのないことを確認のうえ、10時43分より運転を再開した。運転1バッチ目で問題は発生しなかった。19時21分、2バッチ目の運転を行っていたところ、別の作業で周囲に立ち寄った作業員が、同じ箇所からのガスの漏えいに気づき、直ちに設備を停止し、脱圧および冷却を行った。再度、当該抽出槽のねじ込み継手部の分解清掃およびパッキン交換を行い、翌11日(金)、気密検査を実施したところ、漏えいが確認された。原因(4月9日):濃縮スラリー仕込みラインの「詰まり」を取り除くために、スラリー送出ポンプでの押し込みを繰り返し行ったことにより、抽出槽Aへのねじ込み継手部に緩みが生じたためと推定される。濃縮スラリー仕込みラインに「詰まり」が発生したのは、前回の運転後しばらく(約60時間)時間が経過したためと考えられる。なお、「詰まり」は、通常、ラインの分解洗浄で取り除いているとのことである。原因(4月10日):事故後、ねじ込み継手部を取り外したところ、パッキンが損傷していたことから、パッキン交換時の締め付け管理不良によるものと推定される。今後は、①連続運転終了後のライン洗浄回数を増やすことによる「詰まり」の防止および内視鏡による目視確認工程を追加する。②「詰まり」発生時にスラリー送出ポンプを稼働できなくするインターロッキングを追加する。③「詰まり」への対応をマニュアルに明記し、周知・教育を実施することとした。④ねじ込み継手部の分解清掃およびパッキン交換手順をマニュアルに明記し、周知・教育を実施することとした。","d","a","a","b","a"
131,12054,"運転員が現場巡回中に通りかかった際に、ブタン･ブテンC4留分と溶剤(DMF(ジメチルフォルムアミド))が通る保温配管より糸引き状の漏れを発見し、状況確認後直副長に連絡した。直ちに当該配管の縁切りを実施し、漏えい停止を行った。漏えいが停止しなかったので、縁切り範囲を一段広げて実施したところ、漏えいは停止した。装置を停止後に検査した結果、内面腐食による穿孔が確認された。原因は、装置停止時の水洗作業で配管内壁とポリマーの間に保持された水分が、DMF内に微量に含まれるギ酸と結びつくことで酸性水となり、配管底部の腐食が進行したものと推定される。(ギ酸およびポリマーの発生メカニズムについては下記参照※)。配管腐食管理において、ギ酸腐食は考慮し管理していたが、エロージョン･コロージョンを想定していたため、配管底部に着目した検査が行われず、今回発生した部位での腐食を検出できなかったものと考えられる。※:漏えい配管の系内はソルベントとしてDMFが流れており、それが微量に存在する水との間で加水分解を起こし、ギ酸を生成する。また、漏えい部位上流にあるT-702(ブテンストリッパー)塔底留分には微量の反応性モノマー(ブテン類、ブタジエン)が含まれ、これらの成分の熱重合により微量のポリマーが生成する。このポリマーは長期運転の過程で下流配管の内面を覆うように付着する。今後は、①運転中に配管内壁にポリマーが付着する系統に対して配管底部の腐食に着目した検査を行い、腐食率が問題ないことを再確認する。②ポリマーが配管に付着してその下に水が入り込み酸腐食を発生させるDMF系統では、配管肉厚検査の検査ポイントとして配管底所が必要なことを保全基準に反映し、関係者に周知･教育する。①，②に基づき、DMF系統の配管検査計画を見直す。","a","a","a","b","c"
313,9648,"オペレーターの定期巡回中に五感により漏えいを感知し、調査の結果、当該ポンプのメカニカルシールより漏えいを発見した。その後、ポンプをブロックして漏えいを停止させた。原因は、メカニカルシール管理不良と推定される。","d","b","a","c","a"
511,13758,"発生当日(5月1日)は事業所の休日であり、プラントの運転は全行程停止中であった。14時00分頃、製造G当直者(保守勤務者)がガス検(クロルメチル貯槽西)警報の作動に気づき、発報場所周辺に向かった。臭気や異常音も感じられず、すぐには発災場所が確認できなかったので、上長を電話で呼び出し、リークチェッカーにて可燃性ガスがないことを確認した。現場巡回を継続したところ、貯槽と受入ポンプの吐出圧力は通常同圧であるのに対し、受入ポンプ吐出圧のみゼロを示しており、異常に気づいた。出社した上長が約4.5mの高さにある受入配管途中のフレキシブルチューブの変形を発見し、当該箇所からの漏えいと判断した。宿直者(安全環境G担当)が市消防本部へ通報した。なお、漏えい量は推定18kgである。事故発生の4日前(4月27日)、クロルメチルのローリからの受入作業を実施した。その作業終了後、受入配管は窒素パージを行わず、液は在中のままであり、液封防止のため、受入ライン、ポンプ循環ラインのバルブは全て開の状態としていた。発生の2日前(4月29日)、事業所の電気設備の定期点検のために構内停電作業を行った。停電中は、軽装用空気の圧力源である空気圧縮機も停止となる。緊急遮断弁は、軽装用空気が停止すると閉となり(エアレスクローズ)、当該配管に液が在中していた場合に液封状態となる。それを防ぐため、停電中は緊急遮断弁の軽装空気配管に窒素を仮設し、開状態を維持する対応を実施した。電気設備点検作業終了後、仮設窒素から通常の軽装用空気へ戻すときに一時的に各緊急遮断弁は閉となる。その後、エアーの供給が再開し各遮断弁が開となるが、1台(XV1-5501今回漏えい発生の受入配管の遮断弁)のみが作動不良のため開とならずに閉のままとなり、受入用ポンプ吐出の逆止弁と上述の緊急遮断弁XV1-5501の約2.5mの間で液封状態となった。翌4月30日は天候が悪かったが、事故当日5月1日は晴天で気温が約25度まで上昇し、液封箇所の圧力が上昇し、その間のフレキシブルチューブが破損し、漏えいに至った。なお、当該緊急遮断弁の作動不良の原因は、付属駆動用エアー減圧弁の作動不良であると推定される。クロルメチル受入ラインの液封防止のため、受入作業終了後に窒素パージを行うよう作業手順を変更する。","c","d","a","b","b"
502,5424,"定期自主検査において、液化窒素供給設備の液化窒素ＣＥの加圧蒸発器の配管溶接部から微少漏えいが確認された。原因は、当該設備設置時における配管溶接工事において、微小なボイドが発生し、それが経年劣化（22年経過）してピンホールが発生したためとみられる。今後は、1回／月の頻度で点検日を決め、運転圧力による漏えい検査として溶接部を含めた発泡検査を行い、また外観目視検査を強化することとした。さらに、定期自主検査においては、前出の検査で異常が認められた場合、当該部分の肉厚測定及び浸透探傷試験を実施することとした。","d","a","a","b","c"
432,334,"ナフサの直接酸化による酢酸プラントの反応器（反応圧力50kg/c㎡,温度170℃)付近から漏えい、爆発した。反応器とコンデンサーを結ぶベイパーパイプが破裂したものと推定される。","a","a","b","c","a"
46,101,"M.D.I製造工場のホスゲン貯蔵の安全弁が吹き高さ25mのスタックよりガスが洩れた。直に除害措置をするとともに安全弁、元弁をしめたがこの間通行人従業員を含め270人が中毒の被害を受けた。吹き出し時間に約20分で15㎏のガスが洩れたものと推定された。","b","d","d","c","d"
9,12878,"4月27日現場より、ブラインの冷却状態が悪いとの一報があり、運転を停止した(設定:-20℃)。5月2日、専門業者による漏えい箇所の特定作業を実施した結果、漏えい箇所の特定に至った(発泡試験では特定できず、リークディテクターでかろうじて確認できる程度の微少の漏えい)。原因は、断熱材の経年劣化による冷媒配管周辺結露での外部腐食の進行と推定される。","a","a","a","b","d"
450,5411,"触媒の試験を行うため、水素化反応パイロット装置(ＡＴＬ反応装置)において、平成18年7月18日に触媒を水素ガスにより還元処理を行った後、運転を開始した。同年8月7日11時に、酸素を含んだ原料油に変更して運転したところ、同日23時頃に異臭が感じられたため緊急シャットダウン及び系内の窒素パージを実施した。漏えい箇所を調査したところ、反応器出口配管エルボー部（ベンダー曲げ加工部）の背側が開口し漏えいしていたことが判明した。原因は、今回変更した原料油中に含まれる酸素と水素ガスから｢水｣が生成し、これが触媒中のＣｌを流出させ、応力が付加されている配管曲げ部で凝縮し、応力腐食割れが発生してガス漏えいしたものとみられる。なお、事業所内のその他の設備においては、同様の条件による運転（実験）を実施していないことが確認された。今後は、今回と同様の条件による実験を実施する際には、装置の材質を耐塩素性の高い材質に変更した反応装置のみで実施することとした。また、運転（実験）前には、関係部署間で実験に係る危険性について十分に検討を行うこととした。","c","b","a","b","a"
166,8432,"事業所内の液化窒素CEで、充てん中、充てん口から貯槽の間に取り付けられたブロー弁へのチーズ溶接部から、微少なリークが確認された。原因は、設置から12年経過しており、経年劣化によるものと推定される。","d","a","a","b","b"
256,8810,"5月20日9時頃、消費先で配送員が容器がないことに気付いた。販売店担当者が現地を訪問すると、設置されていたLPガス20kg容器1本が無くなっていた。同日17時48分、交番に被害届を提出した。","a","d","h","a","d"
118,12255,"11月1日9時から11月6日18時まで空調設備の点検のために運転停止中であったが、再開前の点検で高圧･低圧側とも圧力ゼロを確認した。試運転を中止した。7日9時に設備の冷媒を回収しようとしたが、設備内に冷媒が全てなくなっており、冷媒漏れと断定した。プレート熱交換器からフルオロカーボン407Cが冷水側に漏れていた。※11月1日9時現在は異常なかった。原因は、空調用空冷チラーユニットモジュール内プレート熱交換器(水側熱交)の凍結破損により、冷水側への冷媒が漏れ込んだものと推定される。今後は、①5トン以上の冷凍機、冷媒ガス配管等の周辺フルオロカーボンリークチェッカーによるフルオロカーボン漏れ確認を行う(6か月ごと)。②冷水製造用のチラーに関しては、水質確認(6か月ごと)、冷水入れ替え(1年ごと)を行う。③外観(圧力計、音、振動)チェック(毎日)を行う。","d","a","a","b","c"
390,4147,"フッ素樹脂製造プラントは前日の停電のためシャットダウン後、スタートアップ中であった。循環ポンプ付近で出火の後、１回目の爆発が発生し、その後も火災が続いたため、最終的には精留塔内に伝播して精留塔を破壊する２回目の爆発が発生した。事故の原因は、ポンプのリバース配管がガスケット部分で閉塞していたため冷却不良になっており、ポンプ内が高温になったためポンプ内で小爆発が発生。そのため四フッ化エチレンが漏えいしながら出火し、四フッ化エチレン蒸気に引火して１回目の爆発が発生した。その後、蒸留塔内部の四フッ化エチレンが抜けて火炎が配管に進入したため、２回目の爆発が発生し、蒸留塔を破壊したとみられる。","c","a","g","b","a"
97,17378,"ウォーターチリングユニットの点検中、漏えい試験を実施したところ、コンプレッサーへの環配管からのガス漏れを発見した。原因は環配管同士のこすれによる摩耗であった。","d","a","a","b","c"
144,13107,"10月24日、当該機の冷媒圧力が0.1MPaまで低下していることを発見した。10月27日に詳細な調査を実施し、当該機の水熱交換器から冷媒ガスの漏えいを発見した。10月31日に冷媒を回収し、初期充てん量と回収量の差から、冷媒ガス約190kgが漏えいしていたと算出した。原因は、調査中である。","d","d","a","c","a"
160,16650,"製造設備（非高圧ガス設備）のチラーユニット（冷凍能力20トン未満）の水冷却器（シェルアンドチューブ型）のチューブが破孔しフロンR-22が漏えいした。
・7月9日、チラーユニットの冷凍能力の低下が観察されていたので、フロン漏えい検出器で点検していたところ、閉止弁辺りで検出された。
・7月12日に運転を停止し、メーカー点検を行ったところ、水冷却器のチューブから漏えいしていることが分かった。
・7月18日から設備を取り外し、補修工事を開始。老朽化により水冷却器（熱交換器）の伝熱管1本が腐食し、破孔に至った。","d","a","a","b","a"
9,13121,"9月7日から当該冷凍設備を停止していた。11月10日の委託業者による定期点検時に圧力ゲージが0MPaであることが判明した。直ちに当該事業所の設備改善員に連絡し、現場確認して漏えいを確認した。併せて、県庁、消防署、保健所に通報した。原因は、経年劣化(16年経過)により、冷却器内の銅配管に腐食が進行し、銅管肉厚の減少のためピンホールが発生したことと推定される。今後は、①フルオロカーボン22のチラーユニットの更新計画を見直す。②圧力計値の点検頻度を月例点検より、日常点検に変更し、異常を早期に発見する。③省エネ運転等で、停止中のチラーユニットの圧力計値の点検頻度を月例点検より、日常点検に変更し、異常を早期に発見する。④教育を実施する。１）冷凍機管理部門:事故内容の説明および点検内容変更(装置使用部門)について教育を実施する。２）設備:事故内容の説明および点検内容変更について説明する。３）事業所従業員:事業所内の安全衛生管理者会議等を通じて周知する。","d","a","a","b","c"
0,13866,"蒸発器(PBC)の更新工事後、完成検査に向けた気密試験を行っていたところ、蒸発器(VAP-101A)液入口ヘッダーの溶接部での漏えいを発見した。原因は、熱応力による疲労の進展を見落としたためと推定される。蒸発器前後の弁を閉止し、使用禁止とした。送ガス蒸発器を更新する。","d","a","a","b","d"
461,14040,"10月27日8時頃、冷凍機が緊急停止した。17時頃、メンテナンス会社が原因を調査したところ、冷媒漏れが発覚した。28日9時頃、凝縮器のフランジ部を解体して調査した結果、チューブ260本中11本から漏れがあることが判明した。29日16時頃、密栓による修理を行い、冷媒ガス23kgを補充し、運転を再開した。原因は、凝縮器チューブの部分腐食(老朽化)により損傷したためと推定される。冷水内に固形物が混入し、チューブが傷ついたと推定される。今後は、冷水の水質を定期分析する。また、冷水入口にストレーナーを設置し、固形物の混入防止を図る。","c","a","a","b","a"
45,2429,"モノメチルヒドラジン製造装置は生産調整のため運転を停止していた。事故当日、スタートアップをしていたところ大音響とともに反応槽が突然爆発し、上部鏡板が管制室の脇に落下し溶液が大気中に飛散した。調査の結果、ポンプを起動させ循環運転に入ったが、反応槽行きの弁は閉となっていたが、若干の漏れがあり、そのため反応槽内で徐々に反応熱が蓄積し、ヒドラジンが急激に熱分解を起こし熱暴走反応に至ったもの。","a","b","e","c","b"
6,17883,"２０２１年７月２８日、冷凍機の圧力負荷が安定しないことから保守業者に点検を依頼した。保守業者が何度か点検を実施し、８月４日にフロンガスを充填したが改善しなかったため、フロンガスの漏洩を疑い設備を停止していた。（８月１７日に指定保安検査機関の保安検査を受検した際、当該事案を市消防局へ通報するように指摘され事故が発覚したもの。）","d","d","a","c","c"
405,40,"運転中のポリエチレン重合反応器内において異常反応が起ったが、温度上昇を自動的に検出しインタロックにて重合工場の緊急停止が行われた。高圧セパレーター内でも異常反応が起り、圧力が急上昇して500㎏/c㎡に達した。圧力調節装置および安全弁の作動により圧力は降下したが、この際高圧セパレーターガス出口温度計の破損によりガスが噴出着火を起し火災に至った。火災発見後セパレーター内のエチレンガスをベントスタックから放出すると共に窒素ガスを送入して置換を行い約30分後に鎮火した。","a","d","b","c","a"
194,9627,"メカニカルシールからのガス漏えい検知用のガスディテクターにより漏えいを感知したが、漏えいの様子がなかった。なお、ガスディテクターに関して、点検を実施したが、正常に作動した。モニタリングを実施し、その後の漏えいは無かった。原因は、メカニカルシール管理不良と推定される。","d","b","h","b","a"
502,7247,"オペレーターの定期巡回中に五感により漏えいを感知し、調査の結果、当該バルブのユニオン部より漏えいを発見した。ブロックによる縁切り後、増し締め実施し、その後補修を実施した。原因は、締付け管理不良と推定される。","a","b","a","b","d"
197,13143,"事故当時、ポリエチレン第3製造施設(高圧ガス設備)は、通常運転中であった。保安係員が漏えい箇所付近を通った際に、エチレン臭に気づいて点検したところ、9時20分に原料エチレンの受入配管の圧力調節弁のグランド部にグリスを注入するルブリケータのニップルより漏えいを発見した。直ちに事務所内連絡により、消防への通報を要請した。また、直ちに当該調節弁の前後をバルブで縁切りを行い、9時32分に窒素置換後、漏えい停止を確認した。10時07分に、公設消防とともにガス検知器でエチレン漏えいが停止していることを確認した。当該調節弁には、グランド部にグリスを注入するためのルブリケータが設置してある。原因は、ルブリケータのニップル部が経年的な外面腐食により減肉し、ピンホールが発生したためと推定される。今後は、装置内調節弁のルブリケータの外面腐食総点検を実施する。","a","a","a","b","a"
40,1367,"重油直接脱硫装置の頂底間差圧測定用水素配管からガスが噴出したので、緊急移送設備を利用してフレアーにガスを放出し減圧した。近くの加熱炉の火を消しスチームカーテン等を作動させた。消防車及び放水砲等で散水しながらガスを拡散し20分後に圧力が低下し漏れが止まった。","a","d","a","c","d"
104,8392,"事業所内で、接触改質装置の第一反応塔頂部のフランジから、ガス(水素とナフサの混合物)が漏えいし火災が発生した。火災発見後、装置を緊急停止し、系内の圧力降下操作を行ったところ消火を確認したので、泡放水等の消火活動は実施しなかった。同日5時10分、公設消防による鎮火が確認された。原因は、反応塔頂部のフランジボルトが、保温材に囲まれ長時間高温環境となり、ボルトが伸びたため締付力が低下したためと推定される。今後は、反応塔頂部のボルト部への熱のこもりを防止するため、フランジ周りの保温材は取り外すこととした。","a","a","b","b","a"
189,16257,"2/13　冷水式スクリューチラーユニット型冷凍機のサイトグラスにて、フロン側に水混入の疑いがあることを深夜パトロール中（早朝）に検知したため、機械グループへ報告した。
※サイトグラス内のインジゲーターが緑（通常）から黄（水混入）に変色していたのを発見した。フロン検知器で点検したが異常はなかった。
2/13　機械グループの点検後、冷凍機運転を停止した。
2/14　メーカー点検を実施し、フロン回収量が少ない旨の報告を受けた。
2/15　冷却器チューブからフロン漏えいの可能性ありと判断し、官庁へ連絡実施した。【事象】
クーラー銅製チューブが外面からエロージョンにより減肉し破孔発生。（チューブ内：フロン、チューブ外：冷水）

【原因】
1、クーラー銅側冷水流量過大によるチューブ外面からのエロージョン。（使用限界流量900L/min、運転流量1,700L/min）⇒設備改造（冷水ユーザー必要流量を確保したまま冷凍機台数を3基から1基に変更）を行ったため、流量過大の設備となった。
2、冷水流量を管理できる設備ではなかった。（流量計なし）","d","a","a","b","a"
540,895,"運転中の第1系列高圧水分離器頂部の安全破裂板が破れ、ガスが何らかの着火源で爆発した。","c","d","f","b","a"
438,12938,"医療用酸素充てん7m3容器No.6ユニット(16本組)を充てん中、12.7MPaまで充てんしたところで、酸素ガス容器1本の容器附属弁の口金損傷防止のために取り付けられている接続金具と充てん金具の間から酸素ガスが漏えいし、瞬間的に発火(瞬時に失火)した。今回の漏えいおよび火災は、接続金具とワンタッチ充てん金具のシール面(不燃性Oリング)の機能低下を起こした部位からの極少量の酸素ガス漏えいを発端とするものであった(平成21年にワンタッチ方式充てん金具に変更後、約6年間使用)。当該施設では、酸素ガスをシールする充てん金具先端のOリングと接続金具のOリングのシール面がしっかり接触している必要があるが、他の接続金具を調査したところ、Oリング溝の面および充てん金具先端のOリング自体にキズがあることが判明した。また、充てん金具の分解整備を怠っていたことから、長年の繰り返し(約4回/日×稼働日数)使用により、摺動性が悪化し、接続金具と充てん金具のシール機能が低下していた可能性もある。原因は、【1次事象:漏えい】極少量の酸素ガスがシール機能低下を起こしたOリングのすき間を高速(12.7MPa→大気圧)で漏えいしたことにより、摩擦熱が生じ、高温が発生した。充てん金具(材質:SUS)が溶融(SUS溶融温度:約1400℃)したことで締め付け力が弱くなり、接続金具から外れて酸素ガスが一気に漏えいと推定される。【2次事象:火災】直後に発生した火災は、溶融した高温のSUSもしくは静電気等が着火源となり、充てん金具から漏えいした酸素ガスが高濃度酸素雰囲気を形成したことで着火し、可燃物となり得る接続金具(材質:真鍮等)の金属粉もしくは容器添付文書(可燃物)が瞬時に燃焼したと推定される。今後は、①現在運用中の全ての充てん金具を分解整備する。②始業前点検を強化する。（充てん金具の作動確認およびOリング、シール面の目視検査をする。始業前点検で不具合が認められた場合は使用停止する。）③充てん金具の定期分解整備を行う。④充てん金具のガスシール用Oリングを定期交換する。⑤今回の事故原因･対策を織り込んだ作業手順書を改訂する。⑥充てん作業員への作業手順書等の教育を徹底する。他のガスについても上記対策を展開していく。","a","b","b","b","b"
33,17414,"9月1日20時頃、操業員がメラミン合成施設の逆止弁付近でアンモニア臭が感じられたため、周辺の調査を開始した。20時10分頃、保温材を取り外し、逆止弁の分割面から漏えいしていることを特定。20時30分頃、ボルトを増し締めし、漏えいを停止。","c","a","a","b","a"
155,16784,"事故が起きた冷凍設備は、ブライン共通のR22を冷媒とする設備とR407Cを冷媒とする設備から構成されており、R407Cを冷媒とする設備は3系統に分かれている。
12/27　14：45　低圧遮断装置が作動し、R407Cを冷媒とする設備の3系統のうち1系統が停止。
15：00　事業者による点検の結果、過冷却コイルのキャピラリー部から冷媒漏れ（カニ泡）を確認。
15：40　メンテナンス業者が当該系統の冷媒を回収後、漏えい箇所をろう付けし、真空引きを行った。
また、当該系統を停止した。
1/7　17：00　事業者が県に事故発生を連絡。キャピラリーコイル部の振動による金属疲労。（詳細は調査中）","d","a","a","b","a"
194,9297,"事業所内で、反応器内にあるバッフルを固定するボルトが脱落し、高圧ガス返送ラインにある温度計を損傷し、温度異常を示した。また、脱落したボルトは、レッドダウンバルブ(LDV)の手前まで移送され、そこで止まり、圧力偏差の感知で異常を示し、インターロックが作動し、エチレンガスを大気放出した。原因は、調査中である。","a","a","a","c","a"
